timestamp_est,symbol,order_id,side,price,size,order_type,action,session_id,data_type,cbdr_window
2025-11-12 06:01:36.316,MNQZ5.CME@RITHMIC,124510150642800,BUY,25794.0,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:36.745,MNQZ5.CME@RITHMIC,124510579493300,SELL,25800.0,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:37.400,MNQZ5.CME@RITHMIC,124511234739100,BUY,25720.0,34,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:38.299,MNQZ5.CME@RITHMIC,124512133412700,SELL,25805.0,23,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:38.392,MNQZ5.CME@RITHMIC,124512227708400,SELL,25850.0,131,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:40.938,MNQZ5.CME@RITHMIC,124514773683000,SELL,25800.0,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:41.805,MNQZ5.CME@RITHMIC,124515639189800,BUY,25790.0,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:42.788,MNQZ5.CME@RITHMIC,6868768443174,SELL,25827.25,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,MBO,NONE
2025-11-12 06:01:42.791,MNQZ5.CME@RITHMIC,124516625992300,SELL,25827.25,23,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:43.028,MNQZ5.CME@RITHMIC,6868768311700,BUY,25769.0,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,MBO,NONE
2025-11-12 06:01:43.033,MNQZ5.CME@RITHMIC,124516867256000,BUY,25769.0,34,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:44.580,MNQZ5.CME@RITHMIC,124518414349400,BUY,25775.0,26,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:46.195,MNQZ5.CME@RITHMIC,124520029456500,BUY,25790.0,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:46.472,MNQZ5.CME@RITHMIC,124520306313400,SELL,25807.5,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:46.564,MNQZ5.CME@RITHMIC,124520398193500,SELL,25807.5,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:48.021,MNQZ5.CME@RITHMIC,124521855844400,BUY,25794.0,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:48.209,MNQZ5.CME@RITHMIC,124522043763600,BUY,25794.0,23,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:52.592,MNQZ5.CME@RITHMIC,124526426868200,BUY,25775.0,27,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:52.839,MNQZ5.CME@RITHMIC,124526674172000,SELL,25805.0,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
