timestamp_est,symbol,event_type,price,detected_size,estimated_total_size,confidence_score,session_id,cbdr_window,iceberg_subtype
2025-11-12 06:07:22.581096,MNQZ5.CME@RITHMIC,STOP,25796.5,1,6,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581103,MNQZ5.CME@RITHMIC,STOP,25796.5,1,7,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581108,MNQZ5.CME@RITHMIC,STOP,25796.5,1,8,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581115,MNQZ5.CME@RITHMIC,STOP,25796.5,2,10,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581120,MNQZ5.CME@RITHMIC,STOP,25796.25,1,11,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581130,MNQZ5.CME@RITHMIC,STOP,25796.25,1,12,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581136,MNQZ5.CME@RITHMIC,STOP,25796.25,1,13,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581145,MNQZ5.CME@RITHMIC,STOP,25796.25,1,14,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:22.581150,MNQZ5.CME@RITHMIC,STOP,25796.25,1,15,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:28.146579,MNQZ5.CME@RITHMIC,STOP,25795.75,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:28.146591,MNQZ5.CME@RITHMIC,STOP,25795.75,1,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:28.146705,MNQZ5.CME@RITHMIC,STOP,25795.75,1,3,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:28.146710,MNQZ5.CME@RITHMIC,STOP,25795.75,1,4,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:28.146722,MNQZ5.CME@RITHMIC,STOP,25795.5,1,5,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:07:35.825540,MNQZ5.CME@RITHMIC,STOP,25796.25,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:21.874016,MNQZ5.CME@RITHMIC,STOP,25792.25,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:24.044506,MNQZ5.CME@RITHMIC,STOP,25792.0,2,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:24.044512,MNQZ5.CME@RITHMIC,STOP,25792.0,1,3,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:49.379562,MNQZ5.CME@RITHMIC,STOP,25791.5,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:49.380546,MNQZ5.CME@RITHMIC,STOP,25791.5,1,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:49.380552,MNQZ5.CME@RITHMIC,STOP,25791.5,1,3,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:49.380570,MNQZ5.CME@RITHMIC,STOP,25791.5,1,4,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:49.380573,MNQZ5.CME@RITHMIC,STOP,25791.25,1,5,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:58.379497,MNQZ5.CME@RITHMIC,STOP,25794.75,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:58.379504,MNQZ5.CME@RITHMIC,STOP,25794.75,1,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:58.379508,MNQZ5.CME@RITHMIC,STOP,25794.75,1,3,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:58.379515,MNQZ5.CME@RITHMIC,STOP,25794.75,1,4,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:58.379518,MNQZ5.CME@RITHMIC,STOP,25794.75,1,5,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:58.379524,MNQZ5.CME@RITHMIC,STOP,25794.75,1,6,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:58.379530,MNQZ5.CME@RITHMIC,STOP,25794.75,1,7,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:58.379534,MNQZ5.CME@RITHMIC,STOP,25795.0,1,8,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:58.379540,MNQZ5.CME@RITHMIC,STOP,25795.0,1,9,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:08:58.379543,MNQZ5.CME@RITHMIC,STOP,25795.0,1,10,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:09:24.619972,MNQZ5.CME@RITHMIC,STOP,25796.75,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:09:24.619981,MNQZ5.CME@RITHMIC,STOP,25796.75,1,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:11:31.448318,MNQZ5.CME@RITHMIC,STOP,25795.75,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:11:40.242179,MNQZ5.CME@RITHMIC,STOP,25797.0,2,2,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:11:40.242186,MNQZ5.CME@RITHMIC,STOP,25797.0,1,3,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:11:40.242215,MNQZ5.CME@RITHMIC,STOP,25797.0,1,4,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:11:40.242222,MNQZ5.CME@RITHMIC,STOP,25797.0,1,5,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:11:40.242234,MNQZ5.CME@RITHMIC,STOP,25797.0,1,6,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:11:40.242240,MNQZ5.CME@RITHMIC,STOP,25797.0,1,7,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
2025-11-12 06:11:42.660471,MNQZ5.CME@RITHMIC,STOP,25797.75,1,1,0.0,MNQZ5.CME@RITHMIC_20251110_ASIAN,OUTSIDE_CBDR,
