time,open,high,low,close
1761523200,25717,25745,25707.5,25722.5
1761526800,25722.75,25732.25,25711,25718.25
1761530400,25718,25751.5,25712.25,25750
1761534000,25750.5,25773.75,25747.5,25761.25
1761537600,25760.75,25769.25,25753,25762.75
1761541200,25762.75,25787.5,25761,25782.25
1761544800,25783,25802.75,25780,25783.25
1761548400,25783,25816.5,25779.25,25792.25
1761552000,25792.75,25807.25,25768.5,25802.25
1761555600,25802.75,25839.5,25790,25839.5
1761559200,25839.5,25852.5,25829,25838.25
1761562800,25838.25,25848.75,25811.25,25820
1761566400,25819.25,25846,25817.25,25831.25
1761570000,25830.5,25859.75,25796.25,25848.25
1761573600,25848.75,25891.75,25822,25857.5
1761577200,25857.75,25908.75,25855.5,25892.75
1761580800,25892.75,25917,25889.25,25913.75
1761584400,25913.5,25929.5,25892,25927
1761588000,25926.75,25946.25,25919.5,25942
1761591600,25942,25981.5,25920.75,25961
1761595200,25961,26026,25960,26004
1761602400,26002.5,26002.75,25985.75,25995.75
1761606000,25996,26018.5,25993.25,25994.75
1761609600,25994.25,25996,25974,25975.25
1761613200,25975.25,25981.5,25961.25,25969.5
1761616800,25970,25981.5,25963.75,25977.25
1761620400,25977.25,25989,25967,25982.25
1761624000,25981.25,25983.75,25955.25,25958
1761627600,25958,25968,25944.5,25961
1761631200,25961.5,25985,25953.5,25958
1761634800,25958.5,25981,25952,25958.25
1761638400,25958.5,25973.25,25942.25,25968.25
1761642000,25969,25982,25962.75,25975.25
1761645600,25975.5,25990.5,25967.5,25977.75
1761649200,25977.75,26004,25977.75,25993.5
1761652800,25993.75,26033.5,25992,26012.5
1761656400,26012.5,26094,26008.75,26064.5
1761660000,26064.75,26077.75,26008.5,26035
1761663600,26035.5,26061.25,26006,26060.5
1761667200,26060.25,26147,26060.25,26108.75
1761670800,26108.5,26160,26103.25,26153.5
1761674400,26153.5,26196.75,26147.5,26194.5
1761678000,26194.5,26232,26158,26160.25
1761681600,26160.25,26178,26150.5,26172.5
1761688800,26180.25,26190.5,26168.25,26172.75
1761692400,26172.5,26193,26164.75,26184
1761696000,26184,26194.25,26166,26174.5
1761699600,26174.25,26223,26172.75,26215.5
1761703200,26215.75,26252.75,26213.75,26239.25
1761706800,26239.75,26251,26224,26245
1761710400,26244.5,26249.5,26220.75,26246
1761714000,26245.75,26264.5,26245,26260.75
1761717600,26260.5,26291.5,26256.25,26281.25
1761721200,26281.25,26299.75,26260.75,26292.75
1761724800,26292.5,26310,26260.75,26269.25
1761728400,26269,26270.5,26226.25,26237.5
1761732000,26237.5,26273.5,26230.25,26249.75
1761735600,26249.75,26297.25,26247,26274.75
1761739200,26274.75,26288,26243.5,26260.75
1761742800,26260.75,26319.25,26254.25,26319
1761746400,26318.75,26326.5,26243.5,26259.75
1761750000,26260,26277.75,26218.25,26237.5
1761753600,26237.75,26266.5,26203.5,26254
1761757200,26254.25,26268.75,26219.5,26245.75
1761760800,26246.25,26290,26047.5,26184.75
1761764400,26184.75,26285.5,26109.75,26280.25
1761768000,26281.25,26378.5,26159.5,26223.75
1761775200,26160.5,26250,26151.5,26200.25
1761778800,26200,26248,26166.5,26235.75
1761782400,26235.25,26318,26235.25,26289.25
1761786000,26289.25,26312,26260,26298.5
1761789600,26298.5,26372.25,26295.75,26357
1761793200,26356.75,26399.5,26356.75,26377.75
1761796800,26378,26382.75,26139.25,26206.5
1761800400,26206.5,26328.25,26193,26281.25
1761804000,26280.25,26284.25,26211.75,26223.25
1761807600,26223.75,26285.5,26188.5,26269.25
1761811200,26270,26290.25,26232,26270.25
1761814800,26270,26291.25,26195.5,26206
1761818400,26206.5,26244.5,26197.75,26232.5
1761822000,26232,26287,26224.25,26259.75
1761825600,26260.5,26272.75,26085.75,26087
1761829200,26087.5,26147.25,25941.5,26125.25
1761832800,26124.75,26179.5,25978.75,26017
1761836400,26016.5,26077.5,25967,25991
1761840000,25991.5,26097,25985,26073.5
1761843600,26073.25,26076.25,25999.25,26068
1761847200,26067.5,26067.75,25975,25988.75
1761850800,25988.75,25993.75,25868.25,25871.75
1761854400,25872,26149,25853,26149
1761861600,26156,26186.25,26135,26148.75
1761865200,26149,26174.75,26127.25,26170.5
1761868800,26171.25,26199,26136.25,26194
1761872400,26193.5,26209,26169.5,26207.25
1761876000,26207,26214,26165,26185
1761879600,26184.5,26198.75,26160.75,26192.25
1761883200,26190.75,26210.25,26186.75,26192.25
1761886800,26192,26194.5,26160,26165.25
1761890400,26164.5,26192.5,26154.75,26160.5
1761894000,26161,26219.5,26144.25,26218
1761897600,26217.75,26218.25,26157.25,26198
1761901200,26198.5,26210.75,26177,26181.5
1761904800,26182.25,26195.5,26161,26181.5
1761908400,26181.75,26232,26166.25,26220.75
1761912000,26220.5,26273,26204,26211.25
1761915600,26210.75,26217,26080.25,26102.75
1761919200,26102.5,26181.5,26057.75,26164.75
1761922800,26164.75,26183,26050,26051.75
1761926400,26052,26053.75,25931.5,25949.5
1761930000,25949.5,25980.75,25887.75,25948
1761933600,25948,26022.5,25944.25,26014
1761937200,26014.25,26118.25,25992.25,25992.75
1761940800,25992.75,25998.75,25967.25,25983.75
1762124400,26026,26092.75,26012.5,26080.75
1762128000,26080.75,26119.75,26078.75,26116.25
1762131600,26116.5,26123,26087.5,26089
1762135200,26089.5,26114.5,26069,26083
1762138800,26082.5,26085.5,26049.75,26076
1762142400,26075.5,26086,26065,26084.5
1762146000,26084.25,26088,26055.25,26067.75
1762149600,26068,26081.75,26031.5,26048
1762153200,26048.25,26049.75,26016.75,26031.25
1762156800,26031,26097.25,26017.75,26086.5
1762160400,26086.25,26155.75,26082.5,26129.75
1762164000,26130,26163.25,26123.75,26138.75
1762167600,26138.5,26178.75,26138,26153
1762171200,26153.25,26182,26144,26153.25
1762174800,26152.5,26191.75,26133.5,26188.5
1762178400,26188.75,26265.75,26119.5,26133.5
1762182000,26139.5,26155,26012.75,26088.5
1762185600,26088.5,26127.5,26043.25,26118.25
1762189200,26119.25,26159.5,26083,26150
1762192800,26150,26166,26124,26129.5
1762196400,26129,26138.75,26066,26116.5
1762200000,26116.5,26124.75,26071.75,26110.25
1762203600,26110.5,26178,26097.75,26109.5
1762210800,26105.5,26105.5,26061,26069
1762214400,26068.5,26069.25,25982,26013.75
1762218000,26014.75,26030.75,25988.5,26008.25
1762221600,26007.5,26008,25941,25941.5
1762225200,25941.5,25976.25,25924.5,25927.75
1762228800,25928,25941.25,25905.75,25922.75
1762232400,25923.5,25927,25806.75,25821
1762236000,25822,25825,25744.25,25775.5
1762239600,25775.25,25803.5,25737.25,25791.75
1762243200,25792.25,25792.25,25729,25765.5
1762246800,25765.75,25789.25,25667,25674.25
1762250400,25674.75,25772.5,25644.75,25758
1762254000,25757.25,25792.75,25746.75,25766.75
1762257600,25767.5,25790.5,25725,25754.75
1762261200,25754.25,25767,25684.5,25716
1762264800,25715.25,25881,25663,25874.75
1762268400,25874.75,25893.75,25763.75,25788.5
1762272000,25789.25,25823,25723.25,25755.5
1762275600,25756.5,25757.75,25642.25,25679.25
1762279200,25678.5,25685,25603,25668.75
1762282800,25667.5,25688.5,25574.25,25606
1762286400,25605.75,25643,25545,25579.5
1762290000,25579,25593,25517,25575.5
1762297200,25545,25574.5,25501.75,25503.75
1762300800,25504.25,25504.25,25407.5,25410
1762304400,25409.5,25411.25,25282.75,25338.25
1762308000,25338,25424.25,25296.25,25414
1762311600,25415.25,25518.5,25415.25,25515.75
1762315200,25516,25517.25,25443.75,25465.25
1762318800,25465.5,25536,25462,25481.75
1762322400,25481.25,25553.25,25455.75,25528.75
1762326000,25528.25,25535.5,25470.25,25474.75
1762329600,25475,25538,25453.5,25513
1762333200,25512.75,25552,25481,25519.25
1762336800,25518.5,25537.75,25411.75,25413.5
1762340400,25413,25484.25,25403.75,25481.5
1762344000,25481.5,25535.75,25458.25,25529.25
1762347600,25528.5,25595.75,25508.25,25587.5
1762351200,25586.5,25690.75,25487.75,25686.75
1762354800,25686.25,25736.5,25618.5,25719.75
1762358400,25720.25,25789,25658.25,25774.5
1762362000,25774,25828.25,25740,25812.25
1762365600,25812,25872.75,25804.75,25864.75
1762369200,25864,25878.5,25823,25863
1762372800,25863,25877.5,25730,25741.25
1762376400,25741.5,25763.5,25694.25,25728.75
1762383600,25732,25776.25,25702.25,25773
1762387200,25772.75,25775.5,25652.25,25698.5
1762390800,25697.75,25697.75,25616.75,25673.25
1762394400,25673,25718.75,25639.25,25714.5
1762398000,25714.5,25734.75,25700,25720.75
1762401600,25720.25,25742.5,25704.5,25738.75
1762405200,25738.5,25743,25687.75,25693
1762408800,25692.25,25712.75,25672.25,25681.75
1762412400,25681.5,25715,25642.5,25646.25
1762416000,25645.5,25683.75,25628.25,25672
1762419600,25672.5,25747.5,25671.25,25727.5
1762423200,25728,25777.25,25725.75,25752
1762426800,25752,25775.75,25742.5,25747.25
1762430400,25747.25,25791.5,25745.75,25780.5
