time,open,high,low,close,Fractal High,Fractal Low,Chars,Chars,Chars,Chars,Chars,Chars,Chars
1761814800,6921.75,6926,6919.5,6922.5,0,0,0,0,0,0,0,0,0
1761815700,6922.5,6923,6912.5,6916.25,0,0,0,0,0,0,0,0,0
1761816600,6916.25,6917.5,6908.25,6911,0,0,0,0,0,0,0,0,0
1761817500,6911.25,6911.25,6905.5,6908.25,0,1,0,0,0,0,0,0,0
1761818400,6908.5,6914,6906.5,6911.5,0,0,0,0,0,0,0,0,0
1761819300,6911.5,6914,6908.75,6912.5,0,0,0,0,0,0,0,0,0
1761820200,6912.25,6916.25,6911,6913.5,0,0,0,0,0,0,0,0,0
1761821100,6913.5,6920,6913.5,6918,0,0,0,0,0,0,0,0,0
1761822000,6918,6922,6916.5,6921.75,0,0,0,0,0,0,0,0,0
1761822900,6921.75,6928.75,6921,6927.75,0,0,0,0,0,0,0,0,0
1761823800,6927.75,6929.75,6924.25,6928.75,1,0,0,0,0,0,0,0,0
1761824700,6929,6929.5,6921,6921.5,0,0,0,0,0,0,0,0,0
1761825600,6921.75,6924.75,6909.75,6910.5,0,0,0,0,0,0,0,0,0
1761826500,6910.5,6914.5,6898,6901.25,0,0,0,0,0,0,0,0,0
1761827400,6901.25,6907,6895.75,6898,0,0,0,0,0,0,0,0,0
1761828300,6898,6901.25,6890.25,6891,0,0,0,0,0,0,0,0,0
1761829200,6891,6899.25,6887.75,6896,0,0,0,0,0,0,0,0,0
1761830100,6896.25,6896.25,6887,6893.25,0,0,0,0,0,0,0,0,0
1761831000,6893,6893.25,6867.75,6878.25,0,1,0,0,0,0,0,0,0
1761831900,6878,6910.75,6875.75,6904.25,0,0,0,0,0,0,0,0,0
1761832800,6904.25,6913.75,6892.25,6902.5,1,0,0,0,0,0,0,0,0
1761833700,6902.25,6903,6886,6888.5,0,1,0,0,0,0,0,0,0
1761834600,6888.5,6911.75,6888,6906.75,1,0,0,0,0,0,0,0,0
1761835500,6906.75,6908.75,6890.25,6898.5,0,0,0,0,0,0,0,0,0
1761836400,6898.25,6907.75,6898.25,6907,0,0,0,0,0,0,0,0,0
1761837300,6907.25,6909.5,6900.75,6902.25,1,0,0,0,0,0,0,0,0
1761838200,6902,6903.5,6885.25,6889.5,0,0,0,0,0,0,0,0,0
1761839100,6889.5,6894.5,6883.25,6887.75,0,1,0,0,0,0,0,0,0
1761840000,6888,6905.5,6886,6904.75,0,0,0,0,0,0,0,0,0
1761840900,6905,6906,6899,6903.5,1,0,0,0,0,0,0,0,0
1761841800,6903.75,6904,6890,6896.5,0,1,0,0,0,0,0,0,0
1761842700,6896.75,6900.5,6893.75,6898.25,0,0,0,0,0,0,0,0,0
1761843600,6898.25,6898.25,6884.25,6887.75,0,1,0,0,0,0,0,0,0
1761844500,6887.5,6900,6886.25,6897.75,1,0,0,0,0,0,0,0,0
1761845400,6898,6898,6889.75,6893.75,0,0,0,0,0,0,0,0,0
1761846300,6894,6900.5,6893.75,6898,1,0,0,0,0,0,0,0,0
1761847200,6898,6898,6882.5,6883.5,0,0,0,0,0,0,0,0,0
1761848100,6883.25,6886.75,6879,6883.25,0,0,0,0,0,0,0,0,0
1761849000,6883.25,6889,6875.25,6878.5,1,1,0,0,0,0,0,0,0
1761849900,6878.5,6885.25,6875.75,6877.5,0,0,0,0,0,0,0,0,0
1761850800,6877.5,6878.25,6870,6870.5,0,0,0,0,0,0,0,0,0
1761851700,6870.75,6872,6856.5,6866.75,0,1,0,0,0,0,0,0,0
1761852600,6866.75,6874,6859.25,6860.5,1,0,0,0,0,0,0,0,0
1761853500,6860.75,6865.75,6852.5,6853.75,0,0,0,0,0,0,0,0,0
1761854400,6854,6877.5,6850.75,6874.5,0,1,0,0,0,0,0,0,0
1761855300,6874.75,6880.75,6873.25,6877.25,0,0,0,0,0,0,0,0,0
1761856200,6877.5,6895.5,6851,6894,0,1,0,0,0,0,0,0,0
1761857100,6894,6896.25,6890,6894.5,0,0,0,0,0,0,0,0,0
1761861600,6896.5,6899.75,6892.75,6893.75,1,0,0,0,0,0,0,0,0
1761862500,6893.75,6896.5,6892.5,6896.25,0,1,0,0,0,0,0,0,0
1761863400,6896.25,6897.5,6893.25,6893.75,1,0,0,0,0,0,0,0,0
1761864300,6893.75,6894.25,6890.75,6893.25,0,1,0,0,0,0,0,0,0
1761865200,6893.5,6896.25,6891.25,6892.5,1,0,0,0,0,0,0,0,0
1761866100,6892.5,6893,6888.5,6891.5,0,0,0,0,0,0,0,0,0
1761867000,6891.75,6894.25,6887.75,6894,0,1,0,0,0,0,0,0,0
1761867900,6894,6899.25,6893,6898.5,1,0,0,0,0,0,0,0,0
1761868800,6898.75,6899,6889.5,6894.25,0,1,0,0,0,0,0,0,0
1761869700,6894,6903,6893.25,6902.25,0,0,0,0,0,0,0,0,0
1761870600,6902,6903,6898.5,6900.25,1,0,0,0,0,0,0,0,0
1761871500,6900.5,6902.25,6899.5,6901.25,0,0,0,0,0,0,0,0,0
1761872400,6901,6902.5,6898.75,6899.25,1,0,0,0,0,0,0,0,0
1761873300,6899.5,6900.5,6895.5,6900.5,0,1,0,0,0,0,0,0,0
1761874200,6900.5,6903.5,6899.25,6902.25,0,0,0,0,0,0,0,0,0
1761875100,6902.25,6904,6900,6903.5,0,0,0,0,0,0,0,0,0
1761876000,6903.5,6904.75,6900.25,6901.5,1,0,0,0,0,0,0,0,0
1761876900,6901.5,6902.25,6898.75,6899.25,0,0,0,0,0,0,0,0,0
1761877800,6899,6899,6894.25,6894.5,0,0,0,0,0,0,0,0,0
1761878700,6894.5,6898.25,6893.25,6897.25,0,1,0,0,0,0,0,0,0
1761879600,6896.75,6900,6896.5,6899,1,0,0,0,0,0,0,0,0
1761880500,6899,6899.5,6892.5,6894.5,0,1,0,0,0,0,0,0,0
1761881400,6894.5,6899.25,6894,6898.75,0,0,0,0,0,0,0,0,0
1761882300,6899,6900.5,6898,6899.75,0,0,0,0,0,0,0,0,0
1761883200,6900,6903,6899.75,6901.75,0,0,0,0,0,0,0,1,0
1761884100,6902,6903,6900,6901.25,0,0,0,0,0,0,0,0,0
1761885000,6901.5,6903,6900.25,6902,0,0,0,0,0,0,0,0,0
1761885900,6902.5,6902.5,6899.5,6901,0,0,0,0,0,0,0,0,0
1761886800,6900.75,6901,6898,6898.75,0,0,0,0,0,0,0,0,0
1761887700,6898.75,6900.5,6896.5,6896.75,0,0,0,0,0,0,0,0,0
1761888600,6897,6897.75,6896,6897.5,0,0,0,0,0,0,0,0,0
1761889500,6897.5,6897.75,6894,6895.25,0,1,0,0,0,0,0,0,0
1761890400,6895,6899,6894.25,6898.5,0,0,0,0,0,0,0,0,0
1761891300,6898.5,6900.75,6895.5,6900.5,0,0,0,0,0,0,0,0,0
1761892200,6900.5,6902.5,6898,6899,1,0,0,0,0,0,0,0,0
1761893100,6899.25,6899.25,6894.75,6896,0,0,0,0,0,0,0,0,0
1761894000,6896,6896.25,6893.25,6894.5,0,1,0,0,0,0,0,0,0
1761894900,6894.5,6898.75,6894.5,6898,0,0,0,0,0,0,0,0,0
