timestamp,symbol,event_type,side,price,absorbed_volume,aggressor_volume,liquidity_removed,absorption_ratio,imbalance_ratio,session_id,cbdr_window,is_in_cbdr,significance_score
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25577.0,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25578.0,13,13,13,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25579.5,5,5,5,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.62
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25580.0,5,5,5,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.62
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25580.5,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25578.25,11,11,11,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.656
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25577.75,6,6,6,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,SELL,25577.25,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25578.75,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.648
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,SELL,25577.5,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25579.0,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.644
2025-11-13 06:48:04.250000,MNQZ5,ABSORPTION,BUY,25578.5,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25582.75,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25586.75,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25581.5,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25584.5,11,11,11,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.644
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25586.5,12,12,12,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.648
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25581.25,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25584.25,8,8,8,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.632
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25586.25,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25582.0,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25583.0,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25584.0,12,12,12,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.648
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25585.0,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25586.0,14,14,14,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.656
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25580.75,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25583.75,8,8,8,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.64
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25583.25,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25585.75,10,10,10,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.648
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25584.75,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25585.25,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.644
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,SELL,25581.0,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25583.5,6,6,6,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:16.950000,MNQZ5,ABSORPTION,BUY,25585.5,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25584.75,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.644
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25585.5,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25585.0,5,5,5,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.62
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25584.5,8,8,8,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.628
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25582.5,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25581.5,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,SELL,25585.75,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25583.75,7,7,7,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,SELL,25581.75,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,SELL,25583.5,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25585.25,5,5,5,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25584.25,14,14,14,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.62
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,SELL,25583.25,9,9,9,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.636
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,SELL,25582.25,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25581.25,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25584.0,26,26,26,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,SELL,25583.0,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,SELL,25582.0,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:48:35.150000,MNQZ5,ABSORPTION,BUY,25581.0,7,7,7,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:35.300988,MNQZ5,ABSORPTION,SELL,25582.25,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:36.503078,MNQZ5,ABSORPTION,BUY,25583.5,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:37.593166,MNQZ5,ABSORPTION,BUY,25584.0,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:39.536366,MNQZ5,ABSORPTION,BUY,25584.0,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:39.622398,MNQZ5,ABSORPTION,BUY,25583.75,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:39.622408,MNQZ5,ABSORPTION,BUY,25584.0,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:40.126424,MNQZ5,ABSORPTION,SELL,25583.25,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:41.441671,MNQZ5,ABSORPTION,SELL,25583.25,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:41.445485,MNQZ5,ABSORPTION,SELL,25583.0,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:41.455588,MNQZ5,ABSORPTION,BUY,25583.0,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:41.660483,MNQZ5,ABSORPTION,SELL,25582.75,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:48:42.212543,MNQZ5,ABSORPTION,BUY,25583.75,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25583.75,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25585.5,7,7,7,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.628
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25583.25,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,SELL,25582.25,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,SELL,25581.25,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25584.25,11,11,11,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.62
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25585.25,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,SELL,25584.75,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25582.5,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25581.5,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25582.0,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25585.0,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.632
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25584.5,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.628
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25584.0,4,4,4,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:49:04.650000,MNQZ5,ABSORPTION,BUY,25583.5,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:49:05.000952,MNQZ5,ABSORPTION,BUY,25584.25,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:05.023854,MNQZ5,ABSORPTION,SELL,25583.25,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:49:05.113897,MNQZ5,ABSORPTION,BUY,25582.25,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:05.243821,MNQZ5,ABSORPTION,SELL,25581.75,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:05.250926,MNQZ5,ABSORPTION,SELL,25581.5,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:06.328004,MNQZ5,ABSORPTION,BUY,25582.0,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,BUY,25582.25,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,BUY,25580.75,9,9,9,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.616
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,BUY,25579.75,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,SELL,25578.75,8,8,8,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.632
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,BUY,25581.75,2,2,2,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,BUY,25577.75,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,BUY,25576.75,12,12,12,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,BUY,25581.5,1,1,1,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.604
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,SELL,25580.5,3,3,3,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.612
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,BUY,25579.5,6,6,6,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.608
2025-11-13 06:49:26.950000,MNQZ5,ABSORPTION,BUY,25578.5,6,6,6,1.0,0.0,MNQZ5_20251113_LONDON,REGULAR,False,0.62
