timestamp,symbol,event_type,side,price,detected_size,estimated_total_size,fill_count,confidence_score,duration_ms,session_id,cbdr_window,iceberg_subtype
2025-11-13 07:48:40.383411,MNQZ5.CME@RITHMIC,STOP,SELL,25602.0,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:40.383415,MNQZ5.CME@RITHMIC,STOP,SELL,25602.0,1,3,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:40.383424,MNQZ5.CME@RITHMIC,STOP,SELL,25602.0,1,4,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:40.383428,MNQZ5.CME@RITHMIC,STOP,SELL,25602.0,1,5,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:40.753712,MNQZ5.CME@RITHMIC,STOP,SELL,25601.75,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:48:40.753740,MNQZ5.CME@RITHMIC,STOP,SELL,25601.75,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:52:02.554794,MNQZ5.CME@RITHMIC,STOP,BUY,25592.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:52:02.554838,MNQZ5.CME@RITHMIC,STOP,BUY,25592.25,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:52:02.766741,MNQZ5.CME@RITHMIC,STOP,BUY,25592.5,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:52:02.766769,MNQZ5.CME@RITHMIC,STOP,BUY,25592.5,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:54:17.030109,MNQZ5.CME@RITHMIC,STOP,SELL,25596.75,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:54:17.030125,MNQZ5.CME@RITHMIC,STOP,SELL,25596.5,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:54:17.030159,MNQZ5.CME@RITHMIC,STOP,SELL,25596.5,1,3,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
